,id,purpose,go_with,weather,time,viettel_no_0,viettel_no_1,viettel_no_2,score,direction
133,18414,travel,alone,sunny,afternoon,1,0,0,0,0
134,9656,travel,friends,sunny,morning,1,0,0,10,0
135,11403,travel,friends,sunny,morning,1,1,0,11,0
136,16059,travel,friends,sunny,afternoon,1,1,0,9,0
137,5081,travel,friends,sunny,afternoon,1,1,0,0,0
138,10995,travel,friends,sunny,evening,1,1,0,9,0
139,7332,travel,friends,sunny,afternoon,1,1,0,0,0
140,11565,travel,family,sunny,morning,1,0,0,0,0
141,9605,travel,family,sunny,morning,1,0,0,13,0
142,12914,travel,family,sunny,morning,1,1,0,0,0
143,5290,travel,family,sunny,afternoon,1,0,0,0,0
144,4651,travel,family,sunny,evening,1,1,0,9,0
145,19626,travel,alone,sunny,evening,1,0,0,9,1
146,11374,travel,alone,sunny,evening,1,1,0,12,0
147,13274,work,alone,sunny,morning,1,1,1,12,0
148,12837,work,alone,sunny,morning,1,1,1,0,0
149,11981,travel,alone,sunny,afternoon,1,0,0,9,0
150,8547,travel,friends,sunny,morning,1,0,0,0,0
151,11396,travel,friends,sunny,morning,1,0,0,10,0
152,12281,travel,friends,sunny,morning,1,1,0,0,0
153,1237,travel,friends,sunny,morning,1,0,0,0,0
154,13364,travel,friends,sunny,morning,1,1,0,0,0
155,13644,travel,friends,sunny,afternoon,1,1,0,0,0
156,13098,travel,friends,sunny,morning,1,1,0,0,0
157,5096,travel,friends,sunny,afternoon,1,1,0,10,0
158,4311,travel,friends,sunny,afternoon,1,1,0,14,0
159,4642,travel,alone,sunny,morning,1,0,0,0,0
160,16360,travel,alone,sunny,evening,1,0,0,0,1
161,4849,work,alone,sunny,morning,1,1,1,11,0
162,1395,work,alone,sunny,morning,1,1,0,0,0
163,4739,work,alone,sunny,morning,1,0,0,12,1
164,8103,travel,friends,sunny,morning,1,0,0,5,0
165,8392,travel,friends,sunny,morning,1,1,0,0,0
166,1253,travel,friends,sunny,evening,1,1,0,3,0
167,5299,travel,family,sunny,morning,1,1,0,3,0
168,3843,travel,alone,sunny,afternoon,1,1,0,0,0
169,19459,work,alone,sunny,morning,1,1,0,0,0
170,15993,work,alone,sunny,morning,1,0,0,0,1
171,15491,travel,alone,sunny,morning,1,0,0,0,0
172,5248,travel,friends,sunny,morning,1,0,0,0,0
173,19988,travel,friends,sunny,morning,1,1,0,0,0
174,6980,travel,family,sunny,afternoon,1,1,0,21,0
175,16088,travel,alone,sunny,afternoon,1,0,0,0,0
176,2085,work,alone,sunny,morning,1,1,0,0,0
177,18315,travel,alone,sunny,afternoon,1,0,0,0,0
178,8214,travel,friends,sunny,morning,1,0,0,0,0
179,6121,travel,friends,sunny,afternoon,1,1,0,0,0
180,12463,travel,family,sunny,morning,1,0,0,0,0
181,3623,travel,family,sunny,afternoon,1,1,0,6,0
182,17411,work,alone,sunny,morning,1,1,0,0,0
183,6550,work,alone,sunny,morning,1,0,0,5,0
184,14405,travel,alone,sunny,morning,1,0,0,5,0
185,12257,travel,friends,sunny,morning,1,0,0,0,0
186,12514,travel,friends,sunny,morning,1,1,0,0,0
187,5589,travel,friends,sunny,afternoon,1,1,0,0,0
188,11052,travel,friends,sunny,afternoon,1,1,0,0,0
189,5479,travel,friends,sunny,evening,1,1,0,0,0
190,2441,travel,friends,sunny,afternoon,1,1,0,0,0
191,14991,travel,family,sunny,morning,1,0,0,0,0
192,5082,travel,family,sunny,morning,1,0,0,0,0
193,8845,travel,family,sunny,morning,1,1,0,0,0
194,18272,travel,alone,sunny,afternoon,1,0,0,7,1
195,13010,travel,alone,sunny,evening,1,1,0,0,0
196,6954,work,alone,sunny,morning,1,1,1,0,0
197,16487,work,alone,sunny,morning,1,0,0,0,1
198,11248,work,alone,sunny,morning,1,0,0,6,0
199,14972,travel,alone,sunny,morning,1,0,0,0,0
200,12428,travel,friends,sunny,morning,1,0,0,0,0
201,11315,travel,friends,sunny,afternoon,1,1,0,0,0
202,12124,travel,friends,sunny,afternoon,1,1,0,21,0
203,1339,travel,friends,sunny,afternoon,1,1,0,0,0
204,11837,travel,friends,sunny,afternoon,1,1,0,20,0
205,16493,travel,family,sunny,morning,1,1,0,22,0
206,19005,travel,alone,sunny,evening,1,0,0,0,1
207,11976,travel,alone,sunny,evening,1,1,0,0,0
208,6600,work,alone,sunny,morning,1,0,0,21,1
209,1602,travel,alone,sunny,afternoon,1,0,0,13,0
210,2827,travel,friends,sunny,morning,1,0,0,15,0
211,1114,travel,friends,sunny,afternoon,1,1,0,0,0
212,15293,travel,friends,sunny,morning,1,1,0,0,0
213,15998,travel,family,sunny,morning,1,1,0,0,0
214,11773,work,alone,sunny,morning,1,1,1,0,0
215,5311,work,alone,sunny,morning,1,0,0,9,1
216,14884,work,alone,sunny,morning,1,0,0,12,0
217,12706,travel,alone,sunny,afternoon,1,0,0,15,0
218,13735,travel,friends,sunny,morning,1,0,0,0,0
219,15585,travel,friends,sunny,morning,1,1,0,0,0
220,19793,travel,friends,sunny,afternoon,1,1,0,0,0
221,4708,travel,friends,sunny,evening,1,1,0,0,0
222,16058,travel,friends,sunny,afternoon,1,1,0,12,0
223,14158,travel,alone,sunny,afternoon,1,0,0,12,1
224,17243,work,alone,sunny,morning,1,1,1,13,0
225,17159,work,alone,sunny,morning,1,1,0,0,0
226,4254,work,alone,sunny,morning,1,0,0,14,0
227,11627,travel,alone,sunny,morning,1,0,0,0,0
228,1174,travel,friends,sunny,morning,1,0,0,0,0
229,9041,travel,friends,sunny,morning,1,1,0,0,0
230,17945,travel,friends,sunny,evening,1,1,0,4,0
231,8294,travel,friends,sunny,afternoon,1,1,0,0,0
232,8011,travel,family,sunny,morning,1,0,0,4,0
233,10316,travel,family,sunny,morning,1,0,0,0,0
234,13880,travel,family,sunny,morning,1,1,0,3,0
235,8582,travel,family,sunny,evening,1,0,0,3,0
236,18339,travel,alone,sunny,evening,1,0,0,0,1
237,14300,work,alone,sunny,morning,1,1,1,3,0
238,15857,work,alone,sunny,morning,1,1,1,0,0
239,14576,work,alone,sunny,morning,1,1,0,4,0
240,5509,work,alone,sunny,morning,1,0,0,5,1
241,15043,travel,alone,sunny,afternoon,1,0,0,5,0
242,14444,travel,friends,sunny,morning,1,0,0,0,0
243,14648,travel,friends,sunny,morning,1,0,0,5,0
244,3377,travel,friends,sunny,afternoon,1,0,0,5,0
245,2189,travel,friends,sunny,afternoon,1,1,0,0,0
246,3035,travel,friends,sunny,afternoon,1,1,0,0,0
247,18773,travel,friends,sunny,afternoon,1,1,0,0,0
248,12765,travel,alone,sunny,afternoon,1,1,0,0,0
249,17404,travel,alone,sunny,afternoon,1,0,0,0,0
250,2495,work,alone,sunny,morning,1,1,1,3,0
251,9118,work,alone,sunny,morning,1,1,0,0,0
252,2694,work,alone,sunny,morning,1,0,0,0,0
253,6205,travel,alone,sunny,afternoon,1,0,0,0,0
254,17630,travel,friends,sunny,morning,1,1,0,0,0
255,8455,travel,friends,sunny,afternoon,1,0,0,0,0
256,16712,travel,friends,sunny,morning,1,1,0,0,0
257,9382,travel,friends,sunny,afternoon,1,1,0,0,0
258,9378,travel,friends,sunny,morning,1,1,0,0,0
259,9136,travel,friends,sunny,afternoon,1,1,0,0,0
260,3717,travel,friends,sunny,afternoon,1,0,0,0,0
261,17422,travel,friends,sunny,afternoon,1,1,0,81,0
262,8380,travel,alone,sunny,morning,1,0,0,0,0
263,8849,travel,alone,sunny,evening,1,0,0,0,1
264,16257,travel,alone,sunny,evening,1,1,0,88,0
265,10529,work,alone,sunny,morning,1,1,1,62,0
266,19930,work,alone,sunny,morning,1,1,0,0,0
267,11998,work,alone,sunny,morning,1,0,0,0,1
268,13913,work,alone,sunny,morning,1,0,0,70,0
269,18718,work,alone,sunny,morning,1,1,0,0,0
270,14469,travel,alone,sunny,afternoon,1,0,0,0,0
271,9546,travel,friends,sunny,morning,1,0,0,7,0
272,2128,travel,friends,sunny,morning,1,1,0,0,0
273,1449,travel,friends,sunny,afternoon,1,0,0,0,0
274,3388,travel,friends,sunny,afternoon,1,1,0,10,0
275,11095,travel,friends,sunny,afternoon,1,1,0,0,0
276,14474,travel,friends,sunny,afternoon,1,1,0,11,0
277,12966,travel,friends,sunny,evening,1,0,0,7,0
278,14392,travel,friends,sunny,afternoon,1,1,0,0,0
279,17439,travel,friends,sunny,morning,1,0,0,0,0
280,2753,travel,friends,sunny,afternoon,1,1,0,0,0
281,8093,travel,alone,sunny,morning,1,0,0,12,0
282,13702,work,alone,sunny,morning,1,1,1,8,0
283,16118,work,alone,sunny,morning,1,0,0,11,1
284,7823,work,alone,sunny,morning,1,0,0,0,0
285,11260,work,alone,sunny,morning,1,1,0,6,0
286,14904,travel,alone,sunny,morning,1,0,0,0,0
287,19235,travel,friends,sunny,morning,1,0,0,0,0
288,15944,travel,friends,sunny,afternoon,1,1,0,0,0
289,16732,travel,friends,sunny,morning,1,1,0,0,0
290,8976,travel,family,sunny,morning,1,0,0,0,0
291,19769,travel,family,sunny,afternoon,1,0,0,10,0
292,12834,travel,alone,sunny,evening,1,1,0,0,0
293,11960,work,alone,sunny,morning,1,0,0,0,1
294,9114,work,alone,sunny,morning,1,0,0,0,0
295,4743,travel,friends,sunny,afternoon,1,1,0,0,0
296,8344,travel,friends,sunny,afternoon,1,0,0,73,0
297,1524,travel,alone,sunny,morning,1,0,0,92,0
298,12924,travel,alone,sunny,afternoon,1,0,0,13,0
299,9624,travel,friends,sunny,morning,1,0,0,20,0
300,19710,travel,friends,sunny,morning,1,1,0,0,0
301,18820,travel,friends,sunny,morning,1,1,0,0,0
302,5323,travel,friends,sunny,morning,1,1,0,0,0
303,15791,travel,friends,sunny,evening,1,1,0,0,0
304,15442,travel,friends,sunny,afternoon,1,1,0,14,0
305,19099,travel,family,sunny,morning,1,1,0,0,0
306,9564,travel,family,sunny,afternoon,1,0,0,0,0
307,12292,travel,family,sunny,afternoon,1,1,0,0,0
308,12167,travel,alone,sunny,afternoon,1,0,0,14,1
309,18911,travel,alone,sunny,evening,1,1,0,0,0
310,14819,travel,alone,sunny,evening,1,0,0,0,0
311,9354,work,alone,sunny,morning,1,1,1,0,0
312,4044,work,alone,sunny,morning,1,1,0,17,0
313,7971,work,alone,sunny,morning,1,0,0,0,1
314,7418,work,alone,sunny,morning,1,0,0,0,0
315,7082,travel,alone,sunny,morning,1,0,0,0,0
316,10365,travel,friends,sunny,morning,1,0,0,2,0
317,16507,travel,friends,sunny,afternoon,1,1,0,0,0
318,1254,travel,friends,sunny,evening,1,1,0,0,0
319,4600,travel,friends,sunny,afternoon,1,1,0,0,0
320,11669,travel,alone,sunny,afternoon,1,1,0,0,0
321,19304,work,alone,sunny,morning,1,1,0,0,0
322,5980,work,alone,sunny,morning,1,0,0,0,0
323,4256,travel,alone,sunny,afternoon,1,0,0,36,0
324,7912,travel,friends,sunny,morning,1,0,0,0,0
325,2947,travel,friends,sunny,morning,1,0,0,49,0
326,11719,travel,friends,sunny,afternoon,1,0,0,38,0
327,14919,travel,friends,sunny,afternoon,1,1,0,0,0
328,9423,travel,friends,sunny,afternoon,1,1,0,47,0
329,15867,travel,friends,sunny,morning,1,1,0,0,0
330,1806,travel,friends,sunny,afternoon,1,0,0,0,0
331,2716,travel,friends,sunny,afternoon,1,0,0,56,0
332,1417,travel,friends,sunny,afternoon,1,1,0,0,0
333,6228,travel,alone,sunny,morning,1,0,0,0,0
334,2120,travel,alone,sunny,afternoon,1,0,0,48,1
335,18101,travel,alone,sunny,evening,1,1,0,0,0
336,12476,travel,alone,sunny,evening,1,0,0,0,0
337,15197,work,alone,sunny,morning,1,1,1,39,0
338,7393,work,alone,sunny,morning,1,1,1,48,0
339,5782,work,alone,sunny,morning,1,0,0,0,0
340,6596,work,alone,sunny,morning,1,1,0,49,0
341,6754,travel,alone,sunny,afternoon,1,0,0,12,0
342,11570,travel,friends,sunny,morning,1,0,0,0,0
343,18332,travel,friends,sunny,afternoon,1,1,0,0,0
344,2184,travel,friends,sunny,evening,1,1,0,0,0
345,17786,travel,friends,sunny,afternoon,1,1,0,0,0
346,5342,travel,alone,sunny,afternoon,1,0,0,0,1
347,12926,work,alone,sunny,morning,1,1,0,0,0
348,7669,work,alone,sunny,morning,1,0,0,0,1
349,15276,work,alone,sunny,morning,1,0,0,0,0
350,8051,travel,alone,sunny,afternoon,1,0,0,0,0
351,6725,travel,friends,sunny,morning,1,0,0,0,0
352,10426,travel,friends,sunny,afternoon,1,1,0,0,0
353,13356,travel,friends,sunny,afternoon,1,1,0,33,0
354,19745,travel,friends,sunny,evening,1,1,0,0,0
355,15078,travel,friends,sunny,afternoon,1,1,0,0,0
356,11842,travel,family,sunny,morning,1,1,0,0,0
357,9543,travel,family,sunny,morning,1,1,0,0,0
358,5609,travel,family,sunny,afternoon,1,0,0,30,0
359,14096,travel,family,sunny,afternoon,1,1,0,0,0
360,1739,travel,alone,sunny,afternoon,1,0,0,37,0
361,4202,work,alone,sunny,morning,1,1,1,39,0
362,5307,work,alone,sunny,morning,1,0,0,0,0
363,9352,work,alone,sunny,morning,1,1,0,0,0
364,2558,travel,alone,sunny,morning,1,0,0,0,0
365,11673,travel,friends,sunny,morning,1,0,0,0,0
366,2266,travel,friends,sunny,afternoon,1,1,0,0,0
367,5030,travel,friends,sunny,afternoon,1,1,0,8,0
368,12047,travel,friends,sunny,evening,1,1,0,6,0
369,10442,travel,friends,sunny,afternoon,1,0,0,0,0
370,6917,travel,alone,sunny,morning,1,0,0,0,0
371,3654,work,alone,sunny,morning,1,1,1,0,0
372,8612,work,alone,sunny,morning,1,1,0,5,0
373,5253,work,alone,sunny,morning,1,0,0,0,0
374,17597,travel,alone,sunny,afternoon,1,0,0,0,0
375,3615,travel,friends,sunny,morning,1,1,0,0,0
376,1529,travel,friends,sunny,afternoon,1,1,0,0,0
377,1487,travel,friends,sunny,morning,1,1,0,13,0
378,8479,travel,family,sunny,morning,1,0,0,0,0
379,17781,travel,family,sunny,morning,1,0,0,0,0
380,14622,travel,family,sunny,evening,1,0,0,11,0
381,6478,travel,family,sunny,evening,1,1,0,13,0
382,9646,travel,alone,sunny,evening,1,0,0,0,1
383,2319,travel,alone,sunny,evening,1,1,0,15,0
384,19678,work,alone,sunny,morning,1,1,1,12,0
385,16268,work,alone,sunny,morning,1,1,0,0,0
386,5594,work,alone,sunny,morning,1,0,0,0,1
387,12700,work,alone,sunny,morning,1,0,0,9,0
388,15733,travel,alone,sunny,afternoon,1,0,0,0,0
389,19632,travel,friends,sunny,morning,1,0,0,9,0
390,12443,travel,friends,sunny,morning,1,1,0,12,0
391,1503,travel,friends,sunny,afternoon,1,1,0,0,0
392,5450,travel,friends,sunny,morning,1,1,0,0,0
393,18927,travel,family,sunny,morning,1,1,0,0,0
394,14688,travel,family,sunny,morning,1,1,0,15,0
395,10183,travel,family,sunny,afternoon,1,0,0,10,0
396,6808,travel,family,sunny,afternoon,1,1,0,0,0
397,11369,travel,alone,sunny,evening,1,0,0,0,1
398,10168,work,alone,sunny,morning,1,0,0,13,0
399,4500,travel,alone,sunny,morning,1,0,0,0,0
400,19910,travel,friends,sunny,morning,1,1,0,16,0
401,6157,travel,friends,sunny,afternoon,1,1,0,0,0
402,11574,travel,friends,sunny,morning,1,1,0,17,0
403,12815,travel,family,sunny,morning,1,0,0,0,0
404,10082,travel,family,sunny,evening,1,0,0,20,0
405,19804,travel,family,sunny,evening,1,1,0,0,0
406,5021,travel,alone,sunny,evening,1,0,0,0,1
407,17139,travel,alone,sunny,evening,1,1,0,23,0
408,19550,work,alone,sunny,morning,1,1,1,0,0
409,16479,work,alone,sunny,morning,1,1,0,0,0
410,1985,work,alone,sunny,morning,1,0,0,0,1
411,11004,work,alone,sunny,morning,1,0,0,0,0
412,5657,travel,alone,sunny,morning,1,0,0,0,0
413,12817,travel,friends,sunny,morning,1,0,0,0,0
414,11873,travel,friends,sunny,morning,1,0,0,0,0
415,3034,travel,friends,sunny,afternoon,1,1,0,9,0
416,4454,travel,friends,sunny,afternoon,1,1,0,0,0
417,2726,travel,friends,sunny,afternoon,1,1,0,0,0
418,9936,travel,alone,sunny,morning,1,0,0,8,0
419,4320,travel,alone,sunny,evening,1,0,0,0,1
420,14384,travel,alone,sunny,afternoon,1,1,0,0,0
421,8009,travel,alone,sunny,afternoon,1,0,0,0,0
422,10277,work,alone,sunny,morning,1,1,1,10,0
423,15118,work,alone,sunny,morning,1,1,0,8,0
424,17318,work,alone,sunny,morning,1,0,0,8,0
425,2885,work,alone,sunny,morning,1,1,0,8,0
426,3225,travel,friends,sunny,morning,1,0,0,0,0
427,7680,travel,friends,sunny,morning,1,1,0,19,0
428,13960,travel,friends,sunny,morning,1,1,0,0,0
429,18690,travel,friends,sunny,afternoon,1,1,0,0,0
430,16976,travel,friends,sunny,afternoon,1,1,0,0,0
431,3902,travel,family,sunny,morning,1,0,0,19,0
432,7335,travel,family,sunny,morning,1,0,0,19,0
433,18276,travel,family,sunny,morning,1,1,0,0,0
434,3914,travel,family,sunny,evening,1,1,0,12,0
435,9768,travel,alone,sunny,afternoon,1,0,0,0,1
436,6560,work,alone,sunny,morning,1,0,0,0,1
437,5223,travel,alone,sunny,afternoon,1,0,0,23,0
438,14081,travel,friends,sunny,morning,1,0,0,22,0
439,14795,travel,friends,sunny,morning,1,0,0,24,0
440,16259,travel,friends,sunny,afternoon,1,0,0,0,0
441,13134,travel,friends,sunny,afternoon,1,1,0,0,0
442,16347,travel,friends,sunny,afternoon,1,1,0,0,0
443,10988,travel,friends,sunny,afternoon,1,1,0,1,0
444,6567,travel,friends,sunny,afternoon,1,1,0,1,0
445,18124,travel,friends,sunny,afternoon,1,0,0,0,0
446,13457,travel,friends,sunny,afternoon,1,1,0,23,0
447,14794,travel,alone,sunny,afternoon,1,0,0,22,1
448,9733,travel,alone,sunny,afternoon,1,1,0,0,0
449,10017,travel,alone,sunny,afternoon,1,0,0,0,0
450,15486,work,alone,sunny,morning,1,1,1,0,0
451,3170,work,alone,sunny,morning,1,0,0,0,1
452,15985,work,alone,sunny,morning,1,0,0,0,0
453,1004,travel,alone,sunny,morning,1,0,0,5,0
454,4987,travel,friends,sunny,afternoon,1,1,0,0,0
455,18689,travel,family,sunny,morning,1,1,0,0,0
456,14691,travel,family,sunny,afternoon,1,0,0,4,0
457,16125,travel,alone,sunny,afternoon,1,0,0,0,1
458,2300,work,alone,sunny,morning,1,1,1,0,0
459,12628,work,alone,sunny,morning,1,0,0,0,1
460,8806,work,alone,sunny,morning,1,0,0,4,0
461,11054,travel,alone,sunny,morning,1,0,0,10,0
462,19657,travel,friends,sunny,morning,1,0,0,0,0
463,12382,travel,friends,sunny,morning,1,1,0,0,0
464,8540,travel,friends,sunny,morning,1,1,0,0,0
465,2475,travel,friends,sunny,afternoon,1,1,0,0,0
466,2510,travel,friends,sunny,evening,1,1,0,0,0
467,13079,travel,family,sunny,morning,1,1,0,14,0
468,14398,travel,family,sunny,morning,1,1,0,0,0
469,2509,travel,family,sunny,afternoon,1,0,0,12,0
470,14963,travel,family,sunny,afternoon,1,1,0,10,0
471,15671,travel,alone,sunny,afternoon,1,0,0,0,1
472,9281,travel,alone,sunny,evening,1,1,0,0,0
473,3716,work,alone,sunny,morning,1,1,1,0,0
474,4064,work,alone,sunny,morning,1,1,0,0,0
475,16146,work,alone,sunny,morning,1,0,0,0,1
476,15517,work,alone,sunny,morning,1,0,0,0,0
477,4247,work,alone,sunny,morning,1,1,0,10,0
478,2496,travel,friends,sunny,morning,1,1,0,3,0
479,14463,travel,friends,sunny,morning,1,1,0,0,0
480,13728,travel,friends,sunny,morning,1,1,0,0,0
481,2135,travel,friends,sunny,evening,1,1,0,4,0
482,18093,travel,friends,sunny,afternoon,1,1,0,0,0
483,6352,travel,alone,sunny,evening,1,0,0,3,1
484,13863,travel,alone,sunny,evening,1,1,0,4,0
485,6482,travel,family,sunny,morning,1,0,0,65,0
486,18075,travel,family,sunny,morning,1,0,0,0,0
487,17340,travel,family,sunny,morning,1,1,0,0,0
488,1692,travel,family,sunny,afternoon,1,0,0,0,0
489,6267,travel,family,sunny,afternoon,1,1,0,0,0
